casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Feminino,5908,Maria das Vitórias Soares de Medeiros,Maria das Vitórias,NA,NA
senado,Feminino,1046,Maria de Fátima Pinto de Sá Pires,Maria de Fátima,NA,NA
senado,Masculino,4925,Maria de Lourdes Carvalho Rufino,Maria de Lourdes Carvalho Rufino,NA,NA
senado,Masculino,5174,Maria de Pompeia Lins Pessoa,Maria de Pompeia Lins Pessoa,PT,NA
senado,Feminino,1023,Maria do Carmo do Nascimento Alves,Maria do Carmo Alves,DEM,SE
senado,Feminino,59,Maria Osmarina Marina Silva Vaz de Lima,Marina Silva,PV,NA
senado,Masculino,6002,Marcos Antônio Marinho da Cunha,Marinho Cunha,NA,NA
senado,Feminino,4998,Marinor Jorge Brito,Marinor Brito,PSOL,NA
senado,Feminino,527,Marisa Joaquina Monteiro Serrano,Marisa Serrano,PSDB,NA
senado,Feminino,5575,Marizete Lisboa Fernandes Pereira,Marizete,PT,NA
senado,Feminino,60,Maria Marluce Moreira Pinto,Marluce Pinto,MDB,NA
senado,Masculino,4875,Marlúcio Pereira da Silva,Marlúcio Pereira da Silva,NA,NA
senado,Masculino,5571,Marco Jeovano Soares Ribas,Marquinho,DEM,NA
senado,Masculino,5142,Marta Maria Freire da Costa,Marta Maria Freire da Costa,DEM,NA
senado,Feminino,3633,Marta Ramalho,Marta Ramalho,NA,NA
senado,Feminino,5000,Marta Teresa Suplicy,Marta Suplicy,MDB,NA
senado,Masculino,1914,José de Souza Martins Filho,Martins Filho,NA,NA
senado,Masculino,2859,Antonio Pedro Martins Junior,Martins Junior,NA,NA
senado,Masculino,2115,Mathias Olympio de Mello,Mathias Olympio,NA,NA
senado,Masculino,1798,João de Mattos Leão,Mattos Leão,NA,NA
senado,Masculino,1244,Carlos Mauro Cabral Benevides,Mauro Benevides,MDB,NA
senado,Masculino,670,Mauro de Alencar Fecury,Mauro Fecury,MDB,NA
senado,Masculino,61,Mauro Miranda Soares,Mauro Miranda,MDB,NA
senado,Masculino,2117,Maurício José Corrêa,Maurício Corrêa,NA,NA
senado,Masculino,3606,Max José Vasconcelos de Andrade,Max José,NA,NA
senado,Masculino,1497,Augusto Maynard Gomes,Maynard Gomes,NA,NA
senado,Masculino,6027,Antônio Mecias Pereira de Jesus,Mecias de Jesus,PRB,RR
senado,Masculino,1781,João Assis Meira Filho,Meira Filho,NA,NA
senado,Masculino,3492,Marcos de Meira Lins,Meira Lins,NA,NA
senado,Masculino,2225,Rubens de Mello Braga,Mello Braga,NA,NA
senado,Masculino,2120,Mem de Azambuja Sá,Mem de Sá,NA,NA
senado,Masculino,1456,Antônio Mendes Canale,Mendes Canale,NA,NA
senado,Masculino,2592,José de Mendonça Clark,Mendonça Clark,NA,NA
