id_autor,nome,cod_tipo,tipo,uri,id_documento,casa,email,forma_de_tratamento,indicador_outros_autores,nome_autor,nome_completo,num_ordem_autor,sexo,sigla_partido,sigla_tipo_autor,uf_autor,uf_parlamentar,url_foto,url_pagina
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201940,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201941,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201942,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201943,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201944,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201945,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201946,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178884,Hildo Rocha,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,2201947,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201948,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201949,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201950,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201951,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201952,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201953,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201954,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201955,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201956,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178970,João Daniel,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,2201957,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Comissão Mista da MPV 867/2018,9,COMISSÃO MEDIDA PROVISÓRIA,NA,2201958,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201959,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201960,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201961,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201962,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201963,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201964,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73943,Perpétua Almeida,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,2201965,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201966,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201967,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201968,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201969,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201970,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201971,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201972,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178826,Major Olimpio,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/178826,2201973,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134812,Edmilson Rodrigues,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,2201974,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134812,Edmilson Rodrigues,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,2201975,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134812,Edmilson Rodrigues,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,2201976,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134812,Edmilson Rodrigues,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,2201977,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
