,comparacao,distancia
412,2204580_2192459_emenda_na_comissao_jus.txt_555,0.0
413,2204580_2192459_emenda_na_comissao_jus.txt_556,0.0
414,2204580_2192459_emenda_na_comissao_jus.txt_557,0.0
415,2204580_2192459_emenda_na_comissao_jus.txt_558,0.0
416,2204580_2192459_emenda_na_comissao_jus.txt_559,0.0
417,2204580_2192459_emenda_na_comissao_jus.txt_560,0.0
418,2204580_2192459_emenda_na_comissao_jus.txt_562,0.0
419,2204580_2192459_emenda_na_comissao_jus.txt_564,0.0
420,2204580_2192459_emenda_na_comissao_jus.txt_566,0.0
421,2204580_2192459_emenda_na_comissao_jus.txt_568,0.0
422,2204580_2192459_emenda_na_comissao_jus.txt_569,0.0
423,2204580_2192459_emenda_na_comissao_jus.txt_570,0.0
424,2204580_2192459_emenda_na_comissao_jus.txt_571,0.0
425,2204580_2192459_emenda_na_comissao_jus.txt_573,0.0
426,2204580_2192459_emenda_na_comissao_jus.txt_574,0.0
427,2204580_2192459_emenda_na_comissao_jus.txt_576,0.0
428,2204580_2192459_emenda_na_comissao_jus.txt_577,0.0
429,2204580_2192459_emenda_na_comissao_jus.txt_581,0.0
430,2204580_2192459_emenda_na_comissao_jus.txt_583,0.0
431,2204580_2192459_emenda_na_comissao_jus.txt_585,0.0
432,2204580_2192459_emenda_na_comissao_jus.txt_586,0.0
433,2204580_2192459_emenda_na_comissao_jus.txt_587,0.0
434,2204580_2192459_emenda_na_comissao_jus.txt_588,0.0
